exp_name,family,model,dim,lr,epochs,seed,run_dir,val_precision@5,val_recall@5,val_ndcg@5,val_precision@10,val_recall@10,val_ndcg@10,val_precision@20,val_recall@20,val_ndcg@20,test_precision@5,test_recall@5,test_ndcg@5,test_precision@10,test_recall@10,test_ndcg@10,test_precision@20,test_recall@20,test_ndcg@20,benchmark_family,method,batch_size,num_episodes,horizon,avg_cumulative_reward,n,mismatch_scale,clip,ips,snips,dr,ips_low,ips_high,snips_low,snips_high,dr_low,dr_high
mf_d16_lr0.001_ep2_s11,ranking,mf,16.0,0.001,2.0,11.0,runs/mf_d16_lr0.001_ep2_s11_20260309_185347,0.012,0.06,0.047737056144690836,0.008,0.08,0.054403722811357504,0.009,0.18,0.0789675367854797,0.016,0.08,0.06773705614469083,0.016,0.16,0.09350039487156005,0.012,0.24,0.11410617038001547,ranking,,,,,,,,,,,,,,,,,
mf_d16_lr0.001_ep2_s22,ranking,mf,16.0,0.001,2.0,22.0,runs/mf_d16_lr0.001_ep2_s22_20260309_185351,0.012,0.06,0.025474112289381665,0.01,0.1,0.038907553567256684,0.007000000000000001,0.14,0.04895679359936318,0.016,0.08,0.04385072130432617,0.01,0.1,0.04963201783068392,0.01,0.2,0.07460882428868841,ranking,,,,,,,,,,,,,,,,,
mf_d16_lr0.001_ep2_s33,ranking,mf,16.0,0.001,2.0,33.0,runs/mf_d16_lr0.001_ep2_s33_20260309_185354,0.012,0.06,0.04035565121611999,0.012,0.12,0.059570389020352756,0.013000000000000001,0.26,0.093726723559365,0.02,0.1,0.05845918855583273,0.014000000000000002,0.14,0.07143515275821398,0.013000000000000001,0.26,0.10233337620333352,ranking,,,,,,,,,,,,,,,,,
mf_d16_lr0.001_ep4_s11,ranking,mf,16.0,0.001,4.0,11.0,runs/mf_d16_lr0.001_ep4_s11_20260309_185357,0.012,0.06,0.047737056144690836,0.008,0.08,0.054403722811357504,0.009,0.18,0.0789675367854797,0.016,0.08,0.06773705614469083,0.016,0.16,0.09350039487156005,0.012,0.24,0.1140180993159856,ranking,,,,,,,,,,,,,,,,,
mf_d16_lr0.001_ep4_s22,ranking,mf,16.0,0.001,4.0,22.0,runs/mf_d16_lr0.001_ep4_s22_20260309_185400,0.012,0.06,0.024087643450849527,0.01,0.1,0.03752108472872455,0.007000000000000001,0.14,0.04757032476083104,0.016,0.08,0.04385072130432617,0.01,0.1,0.04963201783068392,0.01,0.2,0.0748349739425202,ranking,,,,,,,,,,,,,,,,,
mf_d16_lr0.001_ep4_s33,ranking,mf,16.0,0.001,4.0,33.0,runs/mf_d16_lr0.001_ep4_s33_20260309_185403,0.012,0.06,0.04035565121611999,0.012,0.12,0.059570389020352756,0.013000000000000001,0.26,0.09391155613439675,0.02,0.1,0.05845918855583273,0.014000000000000002,0.14,0.07143515275821398,0.013000000000000001,0.26,0.10233337620333352,ranking,,,,,,,,,,,,,,,,,
mf_d16_lr0.0005_ep2_s11,ranking,mf,16.0,0.0005,2.0,11.0,runs/mf_d16_lr0.0005_ep2_s11_20260309_185406,0.012,0.06,0.047737056144690836,0.008,0.08,0.054403722811357504,0.009,0.18,0.0789675367854797,0.016,0.08,0.06773705614469083,0.016,0.16,0.09350039487156005,0.012,0.24,0.11410617038001547,ranking,,,,,,,,,,,,,,,,,
mf_d16_lr0.0005_ep2_s22,ranking,mf,16.0,0.0005,2.0,22.0,runs/mf_d16_lr0.0005_ep2_s22_20260309_185409,0.012,0.06,0.025474112289381665,0.01,0.1,0.038907553567256684,0.007000000000000001,0.14,0.04895679359936318,0.016,0.08,0.04385072130432617,0.01,0.1,0.04963201783068392,0.01,0.2,0.07460882428868841,ranking,,,,,,,,,,,,,,,,,
mf_d16_lr0.0005_ep2_s33,ranking,mf,16.0,0.0005,2.0,33.0,runs/mf_d16_lr0.0005_ep2_s33_20260309_185412,0.012,0.06,0.04035565121611999,0.012,0.12,0.059570389020352756,0.013000000000000001,0.26,0.093726723559365,0.02,0.1,0.05845918855583273,0.016,0.16,0.0774557526714936,0.013000000000000001,0.26,0.10285573120772813,ranking,,,,,,,,,,,,,,,,,
mf_d16_lr0.0005_ep4_s11,ranking,mf,16.0,0.0005,4.0,11.0,runs/mf_d16_lr0.0005_ep4_s11_20260309_185416,0.012,0.06,0.047737056144690836,0.008,0.08,0.054403722811357504,0.009,0.18,0.0789675367854797,0.016,0.08,0.06773705614469083,0.016,0.16,0.09350039487156005,0.012,0.24,0.11410617038001547,ranking,,,,,,,,,,,,,,,,,
mf_d16_lr0.0005_ep4_s22,ranking,mf,16.0,0.0005,4.0,22.0,runs/mf_d16_lr0.0005_ep4_s22_20260309_185419,0.012,0.06,0.025474112289381665,0.01,0.1,0.038907553567256684,0.007000000000000001,0.14,0.04895679359936318,0.016,0.08,0.04385072130432617,0.01,0.1,0.04963201783068392,0.01,0.2,0.07460882428868841,ranking,,,,,,,,,,,,,,,,,
mf_d16_lr0.0005_ep4_s33,ranking,mf,16.0,0.0005,4.0,33.0,runs/mf_d16_lr0.0005_ep4_s33_20260309_185422,0.012,0.06,0.04035565121611999,0.012,0.12,0.059570389020352756,0.013000000000000001,0.26,0.093726723559365,0.02,0.1,0.05845918855583273,0.014000000000000002,0.14,0.07143515275821398,0.013000000000000001,0.26,0.10233337620333352,ranking,,,,,,,,,,,,,,,,,
mf_d64_lr0.001_ep2_s11,ranking,mf,64.0,0.001,2.0,11.0,runs/mf_d64_lr0.001_ep2_s11_20260309_185425,0.012,0.06,0.042618595071429156,0.01,0.1,0.05640940548025626,0.008,0.16,0.07121782615017973,0.008,0.04,0.02123212623289701,0.01,0.1,0.041232126232897,0.012,0.24,0.07557730185325744,ranking,,,,,,,,,,,,,,,,,
mf_d64_lr0.001_ep2_s22,ranking,mf,64.0,0.001,2.0,22.0,runs/mf_d64_lr0.001_ep2_s22_20260309_185429,0.012,0.06,0.041232126232897015,0.008,0.08,0.04835626997505745,0.01,0.2,0.07919235265919769,0.02,0.1,0.051587777449017,0.016,0.16,0.07051567005616072,0.014000000000000002,0.28,0.10006459634515853,ranking,,,,,,,,,,,,,,,,,
mf_d64_lr0.001_ep2_s33,ranking,mf,64.0,0.001,2.0,33.0,runs/mf_d64_lr0.001_ep2_s33_20260309_185432,0.008,0.04,0.017737056144690833,0.004,0.04,0.017737056144690833,0.01,0.2,0.057997509180204396,0.004,0.02,0.01,0.012,0.12,0.043820394419505755,0.013000000000000001,0.26,0.07870533526410259,ranking,,,,,,,,,,,,,,,,,
mf_d64_lr0.001_ep4_s11,ranking,mf,64.0,0.001,4.0,11.0,runs/mf_d64_lr0.001_ep4_s11_20260309_185435,0.012,0.06,0.042618595071429156,0.01,0.1,0.05640940548025626,0.008,0.16,0.07121782615017973,0.008,0.04,0.02123212623289701,0.01,0.1,0.04058605947950997,0.012,0.24,0.0749312350998704,ranking,,,,,,,,,,,,,,,,,
mf_d64_lr0.001_ep4_s22,ranking,mf,64.0,0.001,4.0,22.0,runs/mf_d64_lr0.001_ep4_s22_20260309_185438,0.012,0.06,0.041232126232897015,0.008,0.08,0.04835626997505745,0.01,0.2,0.07919235265919769,0.02,0.1,0.051587777449017,0.016,0.16,0.07051567005616072,0.014000000000000002,0.28,0.10006459634515853,ranking,,,,,,,,,,,,,,,,,
mf_d64_lr0.001_ep4_s33,ranking,mf,64.0,0.001,4.0,33.0,runs/mf_d64_lr0.001_ep4_s33_20260309_185442,0.008,0.04,0.017737056144690833,0.004,0.04,0.017737056144690833,0.01,0.2,0.05767459801537072,0.004,0.02,0.01,0.012,0.12,0.043820394419505755,0.013000000000000001,0.26,0.07870533526410259,ranking,,,,,,,,,,,,,,,,,
mf_d64_lr0.0005_ep2_s11,ranking,mf,64.0,0.0005,2.0,11.0,runs/mf_d64_lr0.0005_ep2_s11_20260309_185445,0.012,0.06,0.03861353116146786,0.01,0.1,0.05240434157029497,0.008,0.16,0.06721276224021844,0.008,0.04,0.02123212623289701,0.01,0.1,0.041232126232897,0.012,0.24,0.07557730185325744,ranking,,,,,,,,,,,,,,,,,
mf_d64_lr0.0005_ep2_s22,ranking,mf,64.0,0.0005,2.0,22.0,runs/mf_d64_lr0.0005_ep2_s22_20260309_185448,0.012,0.06,0.048613531161467854,0.008,0.08,0.055737674903628305,0.01,0.2,0.08657375758776854,0.02,0.1,0.051587777449017,0.016,0.16,0.07051567005616072,0.014000000000000002,0.28,0.10026834701379589,ranking,,,,,,,,,,,,,,,,,
mf_d64_lr0.0005_ep2_s33,ranking,mf,64.0,0.0005,2.0,33.0,runs/mf_d64_lr0.0005_ep2_s33_20260309_185451,0.008,0.04,0.017737056144690833,0.004,0.04,0.017737056144690833,0.01,0.2,0.05782882411203696,0.004,0.02,0.01,0.012,0.12,0.043820394419505755,0.013000000000000001,0.26,0.07870533526410259,ranking,,,,,,,,,,,,,,,,,
mf_d64_lr0.0005_ep4_s11,ranking,mf,64.0,0.0005,4.0,11.0,runs/mf_d64_lr0.0005_ep4_s11_20260309_185454,0.012,0.06,0.03861353116146786,0.01,0.1,0.05240434157029497,0.008,0.16,0.06721276224021844,0.008,0.04,0.02123212623289701,0.01,0.1,0.04058605947950997,0.012,0.24,0.0749312350998704,ranking,,,,,,,,,,,,,,,,,
mf_d64_lr0.0005_ep4_s22,ranking,mf,64.0,0.0005,4.0,22.0,runs/mf_d64_lr0.0005_ep4_s22_20260309_185458,0.012,0.06,0.041232126232897015,0.008,0.08,0.04835626997505745,0.01,0.2,0.07919235265919769,0.02,0.1,0.051587777449017,0.016,0.16,0.07051567005616072,0.014000000000000002,0.28,0.10006459634515853,ranking,,,,,,,,,,,,,,,,,
mf_d64_lr0.0005_ep4_s33,ranking,mf,64.0,0.0005,4.0,33.0,runs/mf_d64_lr0.0005_ep4_s33_20260309_185501,0.008,0.04,0.017737056144690833,0.004,0.04,0.017737056144690833,0.01,0.2,0.057997509180204396,0.004,0.02,0.01,0.012,0.12,0.043820394419505755,0.013000000000000001,0.26,0.07870533526410259,ranking,,,,,,,,,,,,,,,,,
ncf_d16_lr0.001_ep2_s11,ranking,ncf,16.0,0.001,2.0,11.0,runs/ncf_d16_lr0.001_ep2_s11_20260309_185504,0.004,0.02,0.01,0.006,0.06,0.021801896439637383,0.011,0.22,0.06122091972709077,0.004,0.02,0.00861353116146786,0.012,0.12,0.0391021643959812,0.009,0.18,0.054427748068395294,ranking,,,,,,,,,,,,,,,,,
ncf_d16_lr0.001_ep2_s22,ranking,ncf,16.0,0.001,2.0,22.0,runs/ncf_d16_lr0.001_ep2_s22_20260309_185508,0.016,0.08,0.03635058730615869,0.012,0.12,0.0501413977149858,0.009,0.18,0.06539438841572967,0.02,0.1,0.055474112289381663,0.014000000000000002,0.14,0.06780400973837587,0.009,0.18,0.07827587949376298,ranking,,,,,,,,,,,,,,,,,
ncf_d16_lr0.001_ep2_s33,ranking,ncf,16.0,0.001,2.0,33.0,runs/ncf_d16_lr0.001_ep2_s33_20260309_185511,0.016,0.08,0.058613531161467856,0.012,0.12,0.0706547309880271,0.01,0.2,0.09037508059392069,0.02,0.1,0.05261859507142916,0.018,0.18,0.07708662839266286,0.013000000000000001,0.26,0.09777670953369473,ranking,,,,,,,,,,,,,,,,,
ncf_d16_lr0.001_ep4_s11,ranking,ncf,16.0,0.001,4.0,11.0,runs/ncf_d16_lr0.001_ep4_s11_20260309_185514,0.008,0.04,0.017737056144690833,0.01,0.1,0.03555955249760784,0.009,0.18,0.05572068242672211,0.004,0.02,0.00861353116146786,0.004,0.04,0.014922828697182436,0.009,0.18,0.04951046150428254,ranking,,,,,,,,,,,,,,,,,
ncf_d16_lr0.001_ep4_s22,ranking,ncf,16.0,0.001,4.0,22.0,runs/ncf_d16_lr0.001_ep4_s22_20260309_185517,0.004,0.02,0.01,0.01,0.1,0.03501716402894049,0.011,0.22,0.06451125355976467,0.012,0.06,0.041232126232897015,0.014000000000000002,0.14,0.0668248330813615,0.013000000000000001,0.26,0.09594262112831502,ranking,,,,,,,,,,,,,,,,,
ncf_d16_lr0.001_ep4_s33,ranking,ncf,16.0,0.001,4.0,33.0,runs/ncf_d16_lr0.001_ep4_s33_20260309_185521,0.012,0.06,0.047737056144690836,0.01,0.1,0.061170497422565855,0.008,0.16,0.07669442100730856,0.012,0.06,0.03385072130432616,0.014000000000000002,0.14,0.06032879829309957,0.012,0.24,0.08484539723035578,ranking,,,,,,,,,,,,,,,,,
ncf_d16_lr0.0005_ep2_s11,ranking,ncf,16.0,0.0005,2.0,11.0,runs/ncf_d16_lr0.0005_ep2_s11_20260309_185524,0.004,0.02,0.01,0.008,0.08,0.028111193975351955,0.008,0.16,0.048188522534033724,0.008,0.04,0.018613531161467863,0.01,0.1,0.037082094267771905,0.011,0.22,0.06720866285856017,ranking,,,,,,,,,,,,,,,,,
ncf_d16_lr0.0005_ep2_s22,ranking,ncf,16.0,0.0005,2.0,22.0,runs/ncf_d16_lr0.0005_ep2_s22_20260309_185527,0.008,0.04,0.017737056144690833,0.01,0.1,0.03695179394892361,0.009,0.18,0.056534064965015285,0.012,0.06,0.026350587306158694,0.012,0.12,0.04680806438165247,0.01,0.2,0.06731404578314021,ranking,,,,,,,,,,,,,,,,,
ncf_d16_lr0.0005_ep2_s33,ranking,ncf,16.0,0.0005,2.0,33.0,runs/ncf_d16_lr0.0005_ep2_s33_20260309_185531,0.016,0.08,0.037227062322935725,0.008,0.08,0.037227062322935725,0.011,0.22,0.07315677963769858,0.02,0.1,0.06523719014285831,0.014000000000000002,0.14,0.0781426304113765,0.015,0.3,0.11793504857013776,ranking,,,,,,,,,,,,,,,,,
ncf_d16_lr0.0005_ep4_s11,ranking,ncf,16.0,0.0005,4.0,11.0,runs/ncf_d16_lr0.0005_ep4_s11_20260309_185534,0.004,0.02,0.01,0.006,0.06,0.021801896439637383,0.011,0.22,0.06142590831530328,0.004,0.02,0.00861353116146786,0.012,0.12,0.0391021643959812,0.009,0.18,0.05435358877913918,ranking,,,,,,,,,,,,,,,,,
ncf_d16_lr0.0005_ep4_s22,ranking,ncf,16.0,0.0005,4.0,22.0,runs/ncf_d16_lr0.0005_ep4_s22_20260309_185537,0.016,0.08,0.03635058730615869,0.012,0.12,0.0501413977149858,0.009,0.18,0.0652873992580942,0.02,0.1,0.055474112289381663,0.014000000000000002,0.14,0.06780400973837587,0.01,0.2,0.08282928446770203,ranking,,,,,,,,,,,,,,,,,
ncf_d16_lr0.0005_ep4_s33,ranking,ncf,16.0,0.0005,4.0,33.0,runs/ncf_d16_lr0.0005_ep4_s33_20260309_185541,0.016,0.08,0.058613531161467856,0.012,0.12,0.0706547309880271,0.012,0.24,0.09948189054179883,0.02,0.1,0.05261859507142916,0.016,0.16,0.07130533186630511,0.013000000000000001,0.26,0.09699541300733695,ranking,,,,,,,,,,,,,,,,,
ncf_d64_lr0.001_ep2_s11,ranking,ncf,64.0,0.001,2.0,11.0,runs/ncf_d64_lr0.001_ep2_s11_20260309_185544,0.016,0.08,0.03635058730615869,0.012,0.12,0.04949533096159876,0.014000000000000002,0.28,0.08972607491277343,0.008,0.04,0.01722706232293572,0.008,0.08,0.030132502591453926,0.008,0.16,0.05020983115013569,ranking,,,,,,,,,,,,,,,,,
ncf_d64_lr0.001_ep2_s22,ranking,ncf,64.0,0.001,2.0,22.0,runs/ncf_d64_lr0.001_ep2_s22_20260309_185547,0.0,0.0,0.0,0.006,0.06,0.02002958401067865,0.009,0.18,0.04963712975609649,0.008,0.04,0.017737056144690833,0.006,0.06,0.024861199886851273,0.007000000000000001,0.14,0.04546697539530669,ranking,,,,,,,,,,,,,,,,,
ncf_d64_lr0.001_ep2_s33,ranking,ncf,64.0,0.001,2.0,33.0,runs/ncf_d64_lr0.001_ep2_s33_20260309_185551,0.016,0.08,0.037227062322935725,0.016,0.16,0.06111955282464544,0.01,0.2,0.0714065900050008,0.02,0.1,0.05420637252044615,0.016,0.16,0.0736604137116008,0.016,0.32,0.11401278946562662,ranking,,,,,,,,,,,,,,,,,
ncf_d64_lr0.001_ep4_s11,ranking,ncf,64.0,0.001,4.0,11.0,runs/ncf_d64_lr0.001_ep4_s11_20260309_185554,0.012,0.06,0.030355651216119984,0.016,0.16,0.05998004400867437,0.01,0.2,0.07081189362244085,0.008,0.04,0.027737056144690832,0.012,0.12,0.053111589304583415,0.011,0.22,0.07814903537247042,ranking,,,,,,,,,,,,,,,,,
ncf_d64_lr0.001_ep4_s22,ranking,ncf,64.0,0.001,4.0,22.0,runs/ncf_d64_lr0.001_ep4_s22_20260309_185557,0.008,0.04,0.016350587306158695,0.008,0.08,0.029256027574676893,0.009,0.18,0.054213911097297715,0.012,0.06,0.028969182377587846,0.008,0.08,0.03527847991330242,0.01,0.2,0.06569541434040965,ranking,,,,,,,,,,,,,,,,,
ncf_d64_lr0.001_ep4_s33,ranking,ncf,64.0,0.001,4.0,33.0,runs/ncf_d64_lr0.001_ep4_s33_20260309_185601,0.012,0.06,0.03861353116146786,0.014000000000000002,0.14,0.06554908522573503,0.012,0.24,0.08990141203861715,0.02,0.1,0.06496411846762656,0.014000000000000002,0.14,0.07810886212306663,0.012,0.24,0.10312370596920786,ranking,,,,,,,,,,,,,,,,,
ncf_d64_lr0.0005_ep2_s11,ranking,ncf,64.0,0.0005,2.0,11.0,runs/ncf_d64_lr0.0005_ep2_s11_20260309_185604,0.012,0.06,0.03861353116146786,0.012,0.12,0.05772816102115895,0.013000000000000001,0.26,0.092162641092629,0.004,0.02,0.02,0.006,0.06,0.03314474365544007,0.012,0.24,0.07707238868666548,ranking,,,,,,,,,,,,,,,,,
ncf_d64_lr0.0005_ep2_s22,ranking,ncf,64.0,0.0005,2.0,22.0,runs/ncf_d64_lr0.0005_ep2_s22_20260309_185607,0.004,0.02,0.00861353116146786,0.006,0.06,0.020654730988027108,0.005,0.1,0.030282295251222294,0.008,0.04,0.016350587306158695,0.004,0.04,0.016350587306158695,0.006,0.12,0.03700677477786306,ranking,,,,,,,,,,,,,,,,,
ncf_d64_lr0.0005_ep2_s33,ranking,ncf,64.0,0.0005,2.0,33.0,runs/ncf_d64_lr0.0005_ep2_s33_20260309_185611,0.02,0.1,0.06896918237758784,0.014000000000000002,0.14,0.08077107881722523,0.012,0.24,0.10559513213529849,0.016,0.08,0.053850721304326166,0.014000000000000002,0.14,0.0752231525308075,0.014000000000000002,0.28,0.10935831366212373,ranking,,,,,,,,,,,,,,,,,
ncf_d64_lr0.0005_ep4_s11,ranking,ncf,64.0,0.0005,4.0,11.0,runs/ncf_d64_lr0.0005_ep4_s11_20260309_185614,0.016,0.08,0.03635058730615869,0.012,0.12,0.04949533096159876,0.015,0.3,0.0945860255679087,0.008,0.04,0.01722706232293572,0.008,0.08,0.030132502591453926,0.008,0.16,0.050328991646332,ranking,,,,,,,,,,,,,,,,,
ncf_d64_lr0.0005_ep4_s22,ranking,ncf,64.0,0.0005,4.0,22.0,runs/ncf_d64_lr0.0005_ep4_s22_20260309_185617,0.0,0.0,0.0,0.006,0.06,0.020557585020035463,0.009,0.18,0.05007705970142345,0.008,0.04,0.017737056144690833,0.006,0.06,0.024861199886851273,0.007000000000000001,0.14,0.045638114172337846,ranking,,,,,,,,,,,,,,,,,
ncf_d64_lr0.0005_ep4_s33,ranking,ncf,64.0,0.0005,4.0,33.0,runs/ncf_d64_lr0.0005_ep4_s33_20260309_185621,0.016,0.08,0.039845657394364874,0.016,0.16,0.06373814789607458,0.009,0.18,0.06914291098462098,0.02,0.1,0.05508284753722318,0.02,0.2,0.08657808855493707,0.016,0.32,0.11618668575922632,ranking,,,,,,,,,,,,,,,,,
drr_lr0.001_bs64_s11,rl,,,0.001,,11.0,runs/drr_lr0.001_bs64_s11_20260309_185624,,,,,,,,,,,,,,,,,,,rl,drr,64.0,50.0,20.0,1.329426451527776,,,,,,,,,,,,
drr_lr0.001_bs64_s11,rl,,,0.001,,11.0,runs/drr_lr0.001_bs64_s11_20260309_185624,,,,,,,,,,,,,,,,,,,rl,drr,64.0,100.0,50.0,4.069965598264858,,,,,,,,,,,,
drr_lr0.001_bs64_s11,rl,,,0.001,,11.0,runs/drr_lr0.001_bs64_s11_20260309_185624,,,,,,,,,,,,,,,,,,,rl,drr,64.0,200.0,100.0,8.308915322048598,,,,,,,,,,,,
drr_lr0.001_bs64_s22,rl,,,0.001,,22.0,runs/drr_lr0.001_bs64_s22_20260309_185629,,,,,,,,,,,,,,,,,,,rl,drr,64.0,50.0,20.0,2.053173520438822,,,,,,,,,,,,
drr_lr0.001_bs64_s22,rl,,,0.001,,22.0,runs/drr_lr0.001_bs64_s22_20260309_185629,,,,,,,,,,,,,,,,,,,rl,drr,64.0,100.0,50.0,4.473592573770864,,,,,,,,,,,,
drr_lr0.001_bs64_s22,rl,,,0.001,,22.0,runs/drr_lr0.001_bs64_s22_20260309_185629,,,,,,,,,,,,,,,,,,,rl,drr,64.0,200.0,100.0,9.321261005248612,,,,,,,,,,,,
drr_lr0.001_bs64_s33,rl,,,0.001,,33.0,runs/drr_lr0.001_bs64_s33_20260309_185633,,,,,,,,,,,,,,,,,,,rl,drr,64.0,50.0,20.0,1.1778139938645193,,,,,,,,,,,,
drr_lr0.001_bs64_s33,rl,,,0.001,,33.0,runs/drr_lr0.001_bs64_s33_20260309_185633,,,,,,,,,,,,,,,,,,,rl,drr,64.0,100.0,50.0,3.7579197745061377,,,,,,,,,,,,
drr_lr0.001_bs64_s33,rl,,,0.001,,33.0,runs/drr_lr0.001_bs64_s33_20260309_185633,,,,,,,,,,,,,,,,,,,rl,drr,64.0,200.0,100.0,7.361337461653252,,,,,,,,,,,,
drr_lr0.001_bs64_s44,rl,,,0.001,,44.0,runs/drr_lr0.001_bs64_s44_20260309_185638,,,,,,,,,,,,,,,,,,,rl,drr,64.0,50.0,20.0,2.033108535684149,,,,,,,,,,,,
drr_lr0.001_bs64_s44,rl,,,0.001,,44.0,runs/drr_lr0.001_bs64_s44_20260309_185638,,,,,,,,,,,,,,,,,,,rl,drr,64.0,100.0,50.0,4.861567845345268,,,,,,,,,,,,
drr_lr0.001_bs64_s44,rl,,,0.001,,44.0,runs/drr_lr0.001_bs64_s44_20260309_185638,,,,,,,,,,,,,,,,,,,rl,drr,64.0,200.0,100.0,10.560919189602673,,,,,,,,,,,,
